Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Link
Thonkiconn Mono 3.5mm Audio Jacks ,"THONKICON13,THONKICON14,THONKICON15,THONKICON17,THONKICON18,THONKICON19,THONKICON20,THONKICON21",,8,,,,,https://www.thonk.co.uk/shop/thonkiconn/
Green Thonkiconn Stereo 3.5mm Audio Jacks ,"THONKICON16, THONKICON22",,2,,,,,https://www.thonk.co.uk/shop/thonkiconn/
Tactile Switches ,"S_FUNC,S_SHIFT,S1_TOP,S2_TOP,S3_TOP,S4_TOP,S_PAGE_UP,S_PAGE_DOWN",,8,,,Mouser,612-TL1105SP ,
Switch Caps 9 X 5MM RECT ,,,4,,,Mouser,612-1C-WHT ,
Switch Caps White,,,2,,,Mouser,1RWHT ,
Switch Caps Black,,,1,,,Mouser,1RBLK ,
Switch Caps Dark Gray,,,1,,,Mouser,1RDGR,
Low-Profile LED Button - BIPOLAR ,U11,THONK LOW-PROFILE LED BUTTON2,1,,,,,https://www.thonk.co.uk/shop/low-profile-led-buttons/
ili9431,TFT1,,1,,,,,https://de.aliexpress.com/item/1005006624846563.html
RAMO_ROTARY_ENCODER_PUSHBUTTON,"U7,U8,U9,U10",RAMO_ROTARY_ENCODER_PUSHBUTTON,4,,,,,https://de.aliexpress.com/item/1005004428115934.html
M-10K-B-D,"P1,P2,P3,P4",9MM_SNAP-IN_POT_SILK,4,,,,,
Alu Knobs Silver - Encoder ,,,4,,,,,https://www.thonk.co.uk/shop/bastl-knobs/
Alu Knobs Silver - Silver - With Line ,,,4,,,,,https://www.thonk.co.uk/shop/bastl-knobs/
MICRO_SD_CARDCENTERED,U5,VERT_MICROSD_CENTERED,1,,,,,https://www.thonk.co.uk/shop/radio-music-sd-card-holder-only/
Inductor 2.2uH,"FB1,FB3,FB2",603,3,GZ1608D601TF,Sunlord(顺络),LCSC,C1002,
470uF,C42,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,1,GVE1C471M0607,HONOR(荣誉),LCSC,C5456765,
2.2nF,"C1013,C1014",C0603,2,CL10B222KB8NNNC,SAMSUNG(三星),LCSC,C16033,
3K3,"R672,R673",R0603,2,0603WAF3301T5E,UNI-ROYAL(厚声),LCSC,C22978,
1K,"R671,R50",R0603,2,0603WAF1001T5E,UNI-ROYAL(厚声),LCSC,C21190,
33K,"R120,R4,R7",R0603,3,ERJ-H3EF3302V,PANASONIC(松下),LCSC,C4220470,
10NF,"C15,C2,C3",C0603,3,C1608X7R1E103K080AA,TDK,LCSC,C3886457,
100K,"R32,R5,R8,R73,R80,R61,R56,R55,R60,R66,R71,R101,R103,R100,R99,R122",R0603,16,RQ73C1J100KBTD,TE Connectivity(泰科电子),LCSC,C4242689,
200K,"R31,R6,R9",R0603,3,APC0603B200KN,Ohmite,LCSC,C7214862,
R10,R669,R0603,1,0603WAF100JT5E,UNI-ROYAL(厚声),LCSC,C22859,
R33,R670,R0603,1,0603WAF330JT5E,UNI-ROYAL(厚声),LCSC,C23140,
R270,R667,R0603,1,0603WAF2700T5E,UNI-ROYAL(厚声),LCSC,C22966,
100NF,"C1012,C54,C1007",C0603,3,GCM188R71E104KA57D,MuRata,LCSC,C85861,
1N4148,D5,SOD-123_L2.8-W1.8-LS3.7-RD,1,1N4148W,CJ(江苏长电/长晶),LCSC,C2099,
R220,R668,R0603,1,0603WAF2200T5E,UNI-ROYAL(厚声),LCSC,C22962,
SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,U15,SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,1,H11L1S(TA),EVERLIGHT(亿光),LCSC,C78589,
220uF,C1010,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,RVT1C221M0607,HONOR(荣誉),LCSC,C3342,
22uF,"C34,C35",CAP-SMD_BD4.0-L4.3-W4.3-FD-LS5.3,2,RVT1C220M0405,HONOR(荣誉),LCSC,C3356,
L0603,"L3,L4",L0603,2,MLZ1608A2R2WT000,TDK,LCSC,C76797,
DAISY SEED THRU HOLE STRAIGHT,U16,DAISY SEED THRU HOLE STRAIGHT,1,,,,,
LM1117DT33NOPB,IC1,LM1117DTX33NOPB,1,LM1117DT-3.3/NOPB,TI(德州仪器),LCSC,C969102,
LM4040-10V,U6,DBZ_R-PDSO-G3,1,LM4040C10IDBZR,TI(德州仪器),LCSC,C201738,
MMBT3904,Q2,SOT23-BEC,1,SMMBT3904LT1G,ON,LCSC,C84555,
DC/DC Converter ,U19,PWRM-TH_B2405S-1WR2,1,,,Mouser,490-DQS1-24-S5-S ,
100NF,"C1009,C55,C1008,C56,C4,C23,C22,C51,C50,C36,C37",C0603,11,C1608X7R1H104M080AA,TDK,LCSC,C3858281,
2K,R135,R0603,1,0603WAF2001T5E,UNI-ROYAL(厚声),LCSC,C22975,
MCP6004,U13,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,MCP6004T-I/ST,MICROCHIP(美国微芯),LCSC,C50282,
CD4021,"U18,U1",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,2,CD4021BPWR,TI(德州仪器),LCSC,C2877061,
TL074,"U2,U17",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,2,TL074CPWR,TI(德州仪器),LCSC,C96507,
74HC4051,U3,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-1,1,CD74HC4051PWR,TI(德州仪器),LCSC,C352826,
1K,"R131,R130,R75,R76,R127,R83,R79,R78,R77,R126,R125,R84,R124,R98,R82,R67,R72",R0603,17,APC0603B1K00N,Ohmite,LCSC,C7077186,
10K,"R129,R70,R128,R132,R81,R74,R102,R104",R0603,8,HV73V1JTTD1002F,KOA,LCSC,C3930526,
560PF,"C49,C48",C0603,2,CGA3E2C0G2A561J080AD,TDK,LCSC,C3909915,
47PF,"C47,C46,C27,C52,C53,C26",C0603,6,C1608C0G1H470G080AA,TDK,LCSC,C3898484,
330K,R121,R0603,1,0603WAF3303T5E,UNI-ROYAL(厚声),LCSC,C23137,
1M,R123,R0603,1,0603WAF1004T5E,UNI-ROYAL(厚声),LCSC,C22935,
10UF,"C1005,C1006,C32,C39,C43",C0805,5,GRM21BR61E106KA73L,muRata(村田),LCSC,C84416,
47K,"R35,R34,R37,R38,R36",R0603,5,0603WAF4702T5E,UNI-ROYAL(厚声),LCSC,C25819,
B5819W_C8598,"D3,D4",SOD-123_L2.8-W1.8-LS3.7-RD,2,SS1040_R1_00001,PANJIT(强茂),LCSC,C282390,
R10,"R65,R62,R68,R69",R0805,4,0805W8F100JT5E,UNI-ROYAL(厚声),LCSC,C17415,
